"","Title","Company","City","State","Skills"
"138","SR STATISTICAL ANALYST","Exponent","Los Angeles"," CA","R. Excel. C++."
"139","Senior Data Scientist","Apple","Los Angeles"," CA","C++."
"140","Data Scientist","Leidos","Piscataway"," NJ","Python. R. C++."
"141","Data Scientist / Data Steward - Analytical Development","University-of-Colorado","St. Louis"," MO","C++."
"142","Data Scientist","Pure-Storage","Bellevue"," WA","Python. R. Excel. C++. statistics. Java."
"143","Manager - Global Military Fleet Analytics","Avanade","Shelton"," CT","Python. SQL. R. SAS. C++. statistics. Tableau."
"144","Machine Learning Engineer","Ableto-Inc","Township of Warren"," NJ","Python. SQL. R. Excel. C++. statistics. Java."
"145","Interns@swissre 2018 - Data Scientist Intern","Illumina","Armonk"," NY","C++."
"146","Senior Data Scientist","The-Denver-Post","Denver"," CO","Python. SQL. C++. statistics."
"147","Automation Informatics & Data Analyst","Glaxosmithkline","Collegeville"," PA","Python. SQL. R. C++."
"148","Semiconductor Patterning Data Scientist","Asml","San Jose"," CA","Python. SQL. R. C++. Tableau."
"149","Operations Research Analyst","University-of-Phoenix","Phoenix"," AZ","Python. SQL. R. SAS. Excel. C++. Tableau."
"150","Machine Learning Research Engineer","BAE-Systems","Reston"," VA","Python. R. Excel. C++."
"151","Quantitative Finance Analyst","Bank-of-America","Chicago"," IL","Python. SQL. R. C++."
"152","Quantitative Finance Analyst - Model Validation","Bank-of-America","Chicago"," IL","Python. SQL. R. SAS. Excel. C++."
"153","Manager, Data & Analytics Delivery","Kamehameha-Schools","Honolulu"," HI","R. C++. Tableau."
"154","Research Scientist","Walmart","Bentonville"," AR","Python. SQL. C++. Java."
"155","Statistician I","Thyssenkrupp","Southfield"," MI","NoSQL. R. C++. Java."
"156","Semiconductor Patterning Data Scientist","Booz-Allen-Hamilton","Boston"," MA","SAS. Excel. C++. statistics. Java."
"157","Analyst - Business Analytics","Owens-Corning","Granville"," OH","Python. R. SAS. C++. Java."
"158","Data Scientist - eBusiness","Pearson","San Antonio"," TX","C++."
"159","Data Analyst/Scientist","Pivotal-Labs-Inc","Denver"," CO","Python. SQL. NoSQL. R. SAS. Excel. C++. statistics."
"160","Junior Quantitative Researcher - Machine Learning","Noblis","Washington"," DC","SQL. C++."
"161","STATISTICIAN DATA SCIENTIST - ENTERPRISE ANALYTICS","Unc-Health-Care","Charlotte"," NC","Python. SQL. R. C++."
"162","Data Scientist","Indeed","Seattle"," WA","R. Excel. C++."
"163","Machine Learning Engineer #93356","Sharp-Laboratories-of-America","Houston"," TX","C++."
"164","Manager, Data & Analytics Delivery","Kamehameha-Schools","San Francisco"," CA","Python. R. C++."
"165","Research Scientist","Walmart","Columbus"," OH","C++."
"166","Statistician I","Thyssenkrupp","Nashville"," TN","Python. R. Excel. C++. statistics. Java."
"167","Semiconductor Patterning Data Scientist","Booz-Allen-Hamilton","San Jose"," CA","Python. SQL. R. SAS. C++. statistics. Tableau."
"168","Analyst - Business Analytics","Owens-Corning","Denver"," CO","Python. SQL. R. Excel. C++. statistics. Java."
"169","Data Scientist - eBusiness","Pearson","Cleveland"," OH","C++."
"170","Data Analyst/Scientist","Pivotal-Labs-Inc","McLean"," VA","Python. SQL. C++. statistics."
"171","Junior Quantitative Researcher - Machine Learning","Noblis","Chicago"," IL","Python. SQL. R. C++."
"172","Data and Research Analyst","Kamehameha-Schools","Honolulu"," HI","Python. SQL. R. C++. Tableau."
"173","Data Scientist-ISD","Walmart","Bentonville"," AR","Python. SQL. R. SAS. Excel. C++. Tableau."
"174","Data Scientist","Thyssenkrupp","Southfield"," MI","Python. R. Excel. C++."
"175","Geospatial Data Scientist","Booz-Allen-Hamilton","Boston"," MA","Python. SQL. R. C++."
"176","Data Scientist Front End of Innovation","Owens-Corning","Granville"," OH","Python. SQL. R. SAS. Excel. C++."
"177","Associate Research Scientist - Machine Learning","Pearson","San Antonio"," TX","R. C++. Tableau."
"178","Sr. Data Scientist","Pivotal-Labs-Inc","Denver"," CO","Python. SQL. C++. Java."
"179","Data Scientist","Noblis","Washington"," DC","NoSQL. R. C++. Java."
"180","Data Scientist","Indeed","Seattle"," WA","SAS. Excel. C++. statistics. Java."
"181","Machine Learning Engineer #93356","Md-Anderson-Cancer-Center","Santa Ana"," CA","Python. R. SAS. C++. Java."
"182","Manager, Data & Analytics Delivery","Dupont","Durham"," NC","C++."
"183","Research Scientist","Vanguard","Wayzata"," MN","Python. SQL. NoSQL. R. SAS. Excel. C++. statistics."
"184","Statistician I","Booz-Allen-Hamilton","Pittsburgh"," PA","SQL. C++."
"185","Data Scientist - eBusiness","Kulicke-&-Soffa-Industries-Inc","San Francisco"," CA","Python. SQL. R. C++."
"186","Autonomy - Contributor DSP and Machine Learning Real Time Optimization","Express","Columbus"," OH","R. Excel. C++."
"187","Intern - Enterprise Data Science","Parker-Hannifin","Nashville"," TN","C++."
"188","Data Analyst/Scientist","Mckinsey-&-Company","San Jose"," CA","Python. R. C++."
"189","Junior Quantitative Researcher - Machine Learning","Carolinas-Healthcare-System","Denver"," CO","C++."
"190","Research Scientist","Cargill","Bentonville"," AR","Python. R. Excel. C++. statistics. Java."
