title,company,industry,city,state,website
Data Scientist,Cadmus Group,Business Services,Washington,DC,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=191808&s=58&guid=0000015ed6785b37b7358eefebc38e81&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836765997&jobListingId=2507826981
Data Scientist,Cadmus Group,Business Services,Washington,DC,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=191808&s=58&guid=0000015ed6785b37b7358eefebc38e81&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836765998&jobListingId=2507826981
Data Scientist,Vistar Media,Information Technology,York,NY,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=219201&tgt=APPLY_START&s=58&guid=0000015ed6785b37b7358eefebc38e81&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cb=1506836765999&jobListingId=2416129351
Data Scientist,JetSmarter,Travel amp Tourism,FortLauderdale,FL,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=204748&s=58&guid=0000015ed6785b37b7358eefebc38e81&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836765999&jobListingId=2483907896
Data Scientist,JetSmarter,Travel amp Tourism,FortLauderdale,FL,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=204748&s=58&guid=0000015ed6785b37b7358eefebc38e81&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836766000&jobListingId=2483907896
Data Scientist,Digital Reasoning,Information Technology,Nashville,TN,https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=8095&s=58&guid=0000015ed6785b37b7358eefebc38e81&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836766001&jobListingId=2475589889
Data ScientistQuantitative Analyst Engineering,Google,Information Technology,NewYork,NY,https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=4120&s=58&guid=0000015ed6785b37b7358eefebc38e81&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836766002&jobListingId=2545482046
Data Scientist,Sitecore,Information Technology,Sausalito,CA,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=247820&s=58&guid=0000015ed6785b37b7358eefebc38e81&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836766003&jobListingId=2493927117
Data Scientist,Arbor Networks,Information Technology,Baltimore,MD,https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=178126&s=58&guid=0000015ed6785b37b7358eefebc38e81&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836766004&jobListingId=2525739709
Data Scientist,Dataminr,Information Technology,NewYork,NY,https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=204714&s=58&guid=0000015ed6785b37b7358eefebc38e81&src=GD_JOB_AD&t=SR&extid=1&exst=O&ist=L&ast=OL&vt=w&slr=true&rtp=0&cb=1506836766005&jobListingId=1727892555
